id,clip,metric,note,browser,sports2d,delta,agree
04,chelimo-720p.mp4,측정 품질,"브라우저: 착지 간격으로 보면 약 3회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다. · Sports2D: 착지 간격으로 보면 약 3회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다.",측정 오차 큼,측정 오차 큼,같음,True
04,chelimo-720p.mp4,추적된 프레임,표본 크기라 값 비교가 아닙니다,358/360,360/360,—,True
04,chelimo-720p.mp4,착지 수,,29회,33회,+4회,False
04,chelimo-720p.mp4,짝지어진 착지,접촉 시각이 80ms 안이면 같은 착지로 봅니다,14쌍,14쌍,한쪽만 34회,True
04,chelimo-720p.mp4,주법 일치,,리어풋 1 · 미드풋 9 · 포어풋 17 · 판정 불가 2,판정 불가 33,짝 중 0/14,False
04,chelimo-720p.mp4,좌우 일치,다르면 한쪽이 발을 바꿔 본 것입니다,—,—,짝 중 11/14,True
04,chelimo-720p.mp4,케이던스,,145 spm,186 spm,+41 spm,False
04,chelimo-720p.mp4,평균 발 각도,한쪽이 측정하지 못해 비교할 수 없습니다,16.6°,측정 불가,—,True
04,chelimo-720p.mp4,평균 최대 반력,,2.14 BW,1.80 BW,−0.34 BW,False
04,chelimo-720p.mp4,평균 접지 시간,,0.306s,0.277s,−0.029s,True
04,chelimo-720p.mp4,평균 몸 앞 착지,한쪽이 측정하지 못해 비교할 수 없습니다,신장의 18.7%,측정 불가,—,True
05,jog-to-sprint-720p.mp4,측정 품질,"브라우저: 착지 32회 중 18회는 발이 땅에 붙어 있던 시간을 재지 못했습니다. 접지·체공 시간과 반력은 그만큼 거친 추정입니다. · 브라우저: 착지 간격으로 보면 약 2회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다. · Sports2D: 착지 31회 중 22회는 발이 땅에 붙어 있던 시간을 재지 못했습니다. 접지·체공 시간과 반력은 그만큼 거친 추정입니다. · Sports2D: 착지 간격으로 보면 약 5회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다.",측정 오차 큼,측정 오차 큼,같음,True
05,jog-to-sprint-720p.mp4,추적된 프레임,표본 크기라 값 비교가 아닙니다,360/360,322/360,—,True
05,jog-to-sprint-720p.mp4,착지 수,,32회,31회,-1회,False
05,jog-to-sprint-720p.mp4,짝지어진 착지,접촉 시각이 80ms 안이면 같은 착지로 봅니다,28쌍,28쌍,한쪽만 7회,True
05,jog-to-sprint-720p.mp4,주법 일치,,리어풋 1 · 미드풋 14 · 포어풋 17,리어풋 1 · 미드풋 13 · 포어풋 13 · 판정 불가 4,짝 중 18/28,False
05,jog-to-sprint-720p.mp4,좌우 일치,다르면 한쪽이 발을 바꿔 본 것입니다,—,—,짝 중 24/28,True
05,jog-to-sprint-720p.mp4,케이던스,,198 spm,205 spm,+6 spm,False
05,jog-to-sprint-720p.mp4,평균 발 각도,,12.2°,17.5°,+5.4°,False
05,jog-to-sprint-720p.mp4,평균 최대 반력,,1.81 BW,1.87 BW,+0.07 BW,True
05,jog-to-sprint-720p.mp4,평균 접지 시간,,0.252s,0.251s,−0.001s,True
05,jog-to-sprint-720p.mp4,평균 몸 앞 착지,,신장의 21.1%,신장의 23.9%,+2.8%p,False
06,treadmill-720p.mp4,측정 품질,"브라우저: 착지 간격으로 보면 약 2회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다.",측정 오차 큼,측정 품질 좋음,다름,True
06,treadmill-720p.mp4,추적된 프레임,표본 크기라 값 비교가 아닙니다,355/360,358/360,—,True
06,treadmill-720p.mp4,착지 수,,31회,33회,+2회,False
06,treadmill-720p.mp4,짝지어진 착지,접촉 시각이 80ms 안이면 같은 착지로 봅니다,12쌍,12쌍,한쪽만 40회,True
06,treadmill-720p.mp4,주법 일치,,리어풋 1 · 미드풋 13 · 포어풋 17,미드풋 12 · 포어풋 21,짝 중 5/12,False
06,treadmill-720p.mp4,좌우 일치,다르면 한쪽이 발을 바꿔 본 것입니다,—,—,짝 중 10/12,True
06,treadmill-720p.mp4,케이던스,,181 spm,168 spm,−13 spm,False
06,treadmill-720p.mp4,평균 발 각도,,10.9°,10.6°,−0.3°,True
06,treadmill-720p.mp4,평균 최대 반력,,2.87 BW,1.86 BW,−1.00 BW,False
06,treadmill-720p.mp4,평균 접지 시간,,0.170s,0.313s,+0.143s,False
06,treadmill-720p.mp4,평균 몸 앞 착지,,신장의 6.4%,신장의 11.2%,+4.8%p,False
